feedback_id,feedback_text,rating,metro_line,station,feedback_date,journey_type,issue_category,subtopic,sentiment,sentiment_score,urgency,passenger_type,resolution_status,language,data_source
MPF00499,"Today, The seating area and signage were useful.",4,Line 3,SEEPZ,2026-04-05,College,Facilities,lift,Positive,0.77,Low,Tourist,Not Required,English,Synthetic Complaint
MPF00500,"In my experience, Please improve cleanliness in the washroom area.",1,Line 1,Azad Nagar,2026-08-25,Shopping,Cleanliness,coach_cleanliness,Negative,-0.88,High,Tourist,Not Required,English,Synthetic Complaint
MPF00501,"In my experience, Security staff guided me properly when I asked for help.",4,Line 1,Versova,2026-04-02,Shopping,Staff Behaviour,staff_helpfulness,Positive,0.6,Low,Tourist,Resolved,English,Synthetic Review
MPF00502,"Today, The seating area and signage were useful.",3,Line 6,Vikhroli,2026-01-26,Shopping,Facilities,seating_and_water,Neutral,-0.08,Medium,Tourist,Open,English,Synthetic Survey
MPF00503,"Today, The station has clean lifts and working escalators.",5,Line 1,Andheri,2026-07-12,Work,Facilities,seating_and_water,Positive,0.82,Low,Senior citizen,Not Required,English,Synthetic Complaint
MPF00504,"Today, Security staff guided me properly when I asked for help.",4,Line 3,Marol Naka,2026-08-14,Tourism,Staff Behaviour,staff_politeness,Positive,0.75,Low,Senior citizen,Not Required,English,Synthetic Review
MPF00505,"Today, Please improve passenger safety near the platform edge.",1,Line 3,Marol Naka,2026-02-04,Tourism,Safety,security_presence,Negative,-0.93,High,Senior citizen,In Review,Hinglish,Synthetic Review
MPF00506,"In my experience, Please improve cleanliness in the washroom area.",3,Line 3,Marol Naka,2026-03-09,Shopping,Cleanliness,station_cleanliness,Neutral,0.01,Medium,General,Not Required,Hinglish,Synthetic Review
MPF00507,"During my trip, The station infrastructure appeared well maintained.",3,Line 6,Vikhroli,2026-05-30,Daily commute,Maintenance,infrastructure,Neutral,-0.09,Medium,Working professional,In Review,Hinglish,Synthetic Complaint
MPF00508,"During my trip, Please improve cleanliness in the washroom area.",2,Line 7,Jogeshwari East,2026-01-22,Other,Cleanliness,washroom_cleanliness,Negative,-0.74,High,Working professional,In Review,English,Synthetic Complaint
MPF00509,Seats and windows were clean during my journey.,5,Line 1,Versova,2026-06-28,Shopping,Cleanliness,station_cleanliness,Positive,0.68,Low,Tourist,Not Required,English,Synthetic Survey
MPF00510,"Today, Please improve passenger safety near the platform edge.",2,Line 6,Swami Samarth Nagar,2026-05-09,Shopping,Safety,general_safety,Negative,-0.61,High,Student,In Review,English,Synthetic Review
MPF00511,"Today, The station infrastructure appeared well maintained.",4,Line 7,Dindoshi,2026-05-27,Daily commute,Maintenance,equipment,Positive,0.75,Low,General,Not Required,English,Synthetic Review
MPF00512,"During my trip, The coach was clean and well maintained.",5,Line 2A,Goregaon West,2026-07-30,Tourism,Cleanliness,station_cleanliness,Positive,0.58,Low,Tourist,Not Required,English,Synthetic Complaint
MPF00513,"Today, Good value for money compared with other transport options.",5,Line 6,Shyam Nagar,2026-06-30,Tourism,Fare,frequent_commuter_cost,Positive,0.65,Low,Tourist,Not Required,English,Synthetic Complaint
MPF00514,"Today, The lift was out of service and caused inconvenience.",2,Line 2A,Goregaon West,2026-07-06,Tourism,Facilities,seating_and_water,Negative,-0.39,High,General,Resolved,Hinglish,Synthetic Complaint
MPF00515,"Overall, Security staff guided me properly when I asked for help.",4,Line 1,Ghatkopar,2026-06-12,Other,Staff Behaviour,staff_politeness,Positive,0.61,Low,Senior citizen,Not Required,Hinglish,Synthetic Survey
MPF00516,"In my experience, The ticket machine was not working and caused a queue.",2,Line 3,SEEPZ,2026-04-29,Daily commute,Ticketing,counter_queue,Negative,-0.71,High,Working professional,Open,English,Synthetic Review
MPF00517,"Overall, The fare is reasonable for the service provided.",4,Line 6,Vikhroli,2026-07-04,College,Fare,fare_complaint,Positive,0.6,Low,Senior citizen,Resolved,English,Synthetic Survey
MPF00518,"During my trip, Seats and windows were clean during my journey.",4,Line 1,Andheri,2026-08-04,Shopping,Cleanliness,coach_cleanliness,Positive,0.91,Low,Senior citizen,Not Required,English,Synthetic Complaint
MPF00519,"In my experience, The coach condition was good and everything looked maintained.",5,Line 2A,Dahisar East,2026-07-08,Daily commute,Maintenance,equipment,Positive,0.65,Low,Working professional,Not Required,English,Synthetic Complaint
MPF00520,"Overall, The staff member at the counter was rude and unhelpful.",1,Line 2A,Poisar,2026-05-17,Shopping,Staff Behaviour,staff_helpfulness,Negative,-0.37,High,Tourist,Not Required,English,Synthetic Review
MPF00521,"Overall, Better last-mile connectivity would help passengers.",3,Line 1,Versova,2026-01-06,Work,Connectivity,last_mile,Neutral,0.08,Medium,Senior citizen,In Review,English,Synthetic Review
MPF00522,"In my experience, Train service was running late today. Please improve punctuality.",2,Line 6,Swami Samarth Nagar,2026-08-08,Other,Delay,service_frequency,Negative,-0.76,High,Senior citizen,Resolved,Hinglish,Synthetic Survey
MPF00523,Good value for money compared with other transport options.,5,Line 3,Aarey JVLR,2026-08-10,Work,Fare,fare_value,Positive,0.67,Low,Tourist,Not Required,English,Synthetic Review
MPF00524,"Today, Good value for money compared with other transport options.",4,Line 3,Marol Naka,2026-07-06,Other,Fare,frequent_commuter_cost,Positive,0.88,Low,Senior citizen,Not Required,English,Synthetic Complaint
MPF00525,"Overall, The train was delayed by 30 minutes and I missed my connection.",2,Line 7,Jogeshwari East,2026-01-22,Work,Delay,late_train,Negative,-0.48,High,Student,In Review,English,Synthetic Complaint
MPF00526,"Today, It was difficult to connect from the metro to the bus stop.",2,Line 2A,Shimpoli,2026-02-20,Other,Connectivity,interchange,Negative,-0.68,High,Working professional,In Review,English,Synthetic Review
MPF00527,"In my experience, Crowding near the doors made boarding difficult.",2,Line 3,SEEPZ,2026-04-29,Daily commute,Crowding,peak_hour_crowding,Negative,-0.94,High,General,Open,English,Synthetic Survey
MPF00528,"Today, Frequent delays on this route are becoming difficult for daily commuters.",3,Line 7,Dindoshi,2026-07-03,Daily commute,Delay,missed_connection,Neutral,-0.05,Medium,Senior citizen,Not Required,English,Synthetic Survey
MPF00529,"Overall, The station has clean lifts and working escalators.",5,Line 3,Marol Naka,2026-08-08,College,Facilities,lift,Positive,0.93,Low,Senior citizen,Not Required,English,Synthetic Review
MPF00530,"Overall, The ticket machine was not working and caused a queue.",2,Line 6,Jogeshwari,2026-04-26,Daily commute,Ticketing,ticket_machine,Negative,-0.47,High,Senior citizen,Open,Hinglish,Synthetic Complaint
MPF00531,"Today, The station has clean lifts and working escalators.",5,Line 7,Mogharpada,2026-07-08,Other,Facilities,seating_and_water,Positive,0.9,Low,Tourist,Resolved,English,Synthetic Review
MPF00532,"During my trip, The coach was clean and well maintained.",5,Line 7,Aarey,2026-05-10,College,Cleanliness,washroom_cleanliness,Positive,0.74,Low,General,Not Required,Hinglish,Synthetic Review
MPF00533,"In my experience, Good value for money compared with other transport options.",4,Line 3,SEEPZ,2026-01-23,College,Fare,fare_complaint,Positive,0.78,Low,Working professional,Not Required,English,Synthetic Survey
MPF00534,"During my trip, The train had comfortable space and was not crowded.",4,Line 6,Vikhroli,2026-06-06,Shopping,Crowding,door_area_crowding,Positive,0.94,Low,Senior citizen,Not Required,English,Synthetic Review
MPF00535,"Today, The ticket price feels expensive for a short journey.",2,Line 6,Shyam Nagar,2026-02-28,Other,Fare,fare_value,Negative,-0.62,High,Tourist,Open,English,Synthetic Survey
MPF00536,"Today, The ticket machine was not working and caused a queue.",2,Line 1,Azad Nagar,2026-05-07,Shopping,Ticketing,ticket_machine,Negative,-0.88,High,Student,Resolved,English,Synthetic Review
MPF00537,"During my trip, I felt safe throughout the journey and at the station.",5,Line 2A,Dahisar East,2026-05-15,Other,Safety,general_safety,Positive,0.88,Low,General,Resolved,Hinglish,Synthetic Survey
MPF00538,The station floor was dirty and bins were overflowing.,2,Line 2A,Poisar,2026-02-09,Other,Cleanliness,coach_cleanliness,Negative,-0.93,High,Student,Not Required,English,Synthetic Review
MPF00539,"During my trip, More seating and drinking water facilities are needed.",4,Line 1,Azad Nagar,2026-07-07,College,Facilities,seating_and_water,Positive,0.81,Low,Student,Not Required,English,Synthetic Complaint
MPF00540,Very little waiting time today; the train arrived on schedule.,4,Line 2A,Shimpoli,2026-07-17,Tourism,Delay,service_frequency,Positive,0.77,Low,Tourist,Not Required,English,Synthetic Survey
MPF00541,"Today, The staff member at the counter was rude and unhelpful.",1,Line 1,Andheri,2026-07-08,Other,Staff Behaviour,staff_helpfulness,Negative,-0.56,High,Working professional,Resolved,English,Synthetic Review
MPF00542,"In my experience, I felt safe throughout the journey and at the station.",5,Line 6,Jogeshwari,2026-07-27,Shopping,Safety,security_presence,Positive,0.75,Low,Tourist,Not Required,English,Synthetic Review
MPF00543,Please review the fare for frequent daily commuters.,4,Line 6,Jogeshwari,2026-06-11,Shopping,Fare,frequent_commuter_cost,Positive,0.69,Low,Working professional,Not Required,English,Synthetic Complaint
MPF00544,There should be more working ticket counters during rush hours.,2,Line 6,Swami Samarth Nagar,2026-05-26,Work,Ticketing,ticket_machine,Negative,-0.77,High,Senior citizen,Resolved,Hinglish,Synthetic Review
MPF00545,"Today, The train was delayed by 25 minutes and I missed my connection.",2,Line 6,Swami Samarth Nagar,2026-01-21,Other,Delay,missed_connection,Negative,-0.89,High,General,In Review,English,Synthetic Complaint
MPF00546,"Today, The lift was out of service and caused inconvenience.",1,Line 1,Andheri,2026-04-26,Other,Facilities,seating_and_water,Negative,-0.9,High,Senior citizen,Resolved,English,Synthetic Complaint
MPF00547,Too many passengers were packed into the train today.,3,Line 7,Goregaon East,2026-04-12,Other,Crowding,peak_hour_crowding,Neutral,-0.05,Medium,Student,Not Required,English,Synthetic Survey
MPF00548,"Today, More seating and drinking water facilities are needed.",4,Line 1,DN Nagar,2026-06-26,College,Facilities,seating_and_water,Positive,0.84,Low,General,Resolved,English,Synthetic Complaint
MPF00549,The station floor was dirty and bins were overflowing.,2,Line 3,SEEPZ,2026-06-16,Daily commute,Cleanliness,coach_cleanliness,Negative,-0.88,High,Working professional,Open,Hinglish,Synthetic Review
MPF00550,"During my trip, It was difficult to connect from the metro to the bus stop.",2,Line 2A,Poisar,2026-06-29,Shopping,Connectivity,bus_connection,Negative,-0.86,High,Student,Open,English,Synthetic Complaint
MPF00551,"Overall, Frequent delays on this route are becoming difficult for daily commuters.",2,Line 3,Marol Naka,2026-04-21,Shopping,Delay,service_frequency,Negative,-0.77,High,Student,Resolved,English,Synthetic Complaint
MPF00552,"Today, The station infrastructure appeared well maintained.",4,Line 3,BKC,2026-01-16,Tourism,Maintenance,signage_and_fixtures,Positive,0.74,Low,General,Not Required,Hinglish,Synthetic Complaint
MPF00553,The station infrastructure appeared well maintained.,4,Line 1,Azad Nagar,2026-04-22,Shopping,Maintenance,infrastructure,Positive,0.91,Low,Tourist,Not Required,English,Synthetic Complaint
MPF00554,"Today, Please train staff to respond more politely to passengers.",2,Line 2A,Kandarpada,2026-08-15,Tourism,Staff Behaviour,staff_helpfulness,Negative,-0.65,High,Senior citizen,Resolved,Hinglish,Synthetic Survey
MPF00555,"In my experience, Please improve passenger safety near the platform edge.",2,Line 3,Marol Naka,2026-02-10,Other,Safety,general_safety,Negative,-0.78,High,Student,Open,English,Synthetic Survey
MPF00556,"Overall, Please review the fare for frequent daily commuters.",3,Line 3,Aarey JVLR,2026-02-10,Daily commute,Fare,fare_value,Neutral,0.01,Medium,Senior citizen,In Review,Hinglish,Synthetic Complaint
MPF00557,Seats and windows were clean during my journey.,5,Line 6,Swami Samarth Nagar,2026-07-17,Tourism,Cleanliness,washroom_cleanliness,Positive,0.64,Low,Working professional,Not Required,English,Synthetic Survey
MPF00558,The metro connection to other transport was convenient.,5,Line 7,Dindoshi,2026-05-10,Daily commute,Connectivity,interchange,Positive,0.87,Low,Student,Resolved,English,Synthetic Survey
MPF00559,"During my trip, Security staff guided me properly when I asked for help.",4,Line 2A,Dahisar East,2026-02-01,Shopping,Staff Behaviour,staff_politeness,Positive,0.85,Low,Student,Not Required,English,Synthetic Survey
MPF00560,"During my trip, Train service was running late today. Please improve punctuality.",2,Line 3,Marol Naka,2026-06-20,Daily commute,Delay,late_train,Negative,-0.65,High,Senior citizen,In Review,English,Synthetic Complaint
MPF00561,"Today, The ticket price feels expensive for a short journey.",2,Line 2A,Goregaon West,2026-04-24,Shopping,Fare,fare_value,Negative,-0.4,High,General,In Review,English,Synthetic Survey
MPF00562,"During my trip, The coach was clean and well maintained.",5,Line 1,Ghatkopar,2026-02-08,Work,Cleanliness,washroom_cleanliness,Positive,0.94,Low,Tourist,Resolved,English,Synthetic Complaint
MPF00563,"In my experience, There should be more working ticket counters during rush hours.",2,Line 1,Ghatkopar,2026-06-06,College,Ticketing,ticket_machine,Negative,-0.52,High,Senior citizen,In Review,English,Synthetic Complaint
MPF00564,"During my trip, Please train staff to respond more politely to passengers.",2,Line 3,Marol Naka,2026-07-05,College,Staff Behaviour,security_assistance,Negative,-0.48,High,Student,In Review,English,Synthetic Review
MPF00565,The interchange process was smooth and well signposted.,5,Line 2A,Goregaon West,2026-08-16,Tourism,Connectivity,last_mile,Positive,0.77,Low,Senior citizen,Not Required,English,Synthetic Survey
MPF00566,"Today, Security staff guided me properly when I asked for help.",5,Line 6,Shyam Nagar,2026-07-13,Daily commute,Staff Behaviour,security_assistance,Positive,0.59,Low,Senior citizen,Not Required,English,Synthetic Survey
MPF00567,"During my trip, Buying the ticket was quick and easy.",5,Line 1,Azad Nagar,2026-03-14,Tourism,Ticketing,qr_scanner,Positive,0.87,Low,General,Not Required,English,Synthetic Review
MPF00568,"During my trip, The ticket price feels expensive for a short journey.",3,Line 6,Jogeshwari,2026-01-21,College,Fare,fare_value,Neutral,0.02,Medium,Tourist,Resolved,English,Synthetic Review
MPF00569,"Today, Crowding near the doors made boarding difficult.",1,Line 1,Azad Nagar,2026-05-30,Tourism,Crowding,door_area_crowding,Negative,-0.73,High,Tourist,Resolved,English,Synthetic Review
MPF00570,"Overall, More seating and drinking water facilities are needed.",4,Line 3,Marol Naka,2026-04-27,Other,Facilities,escalator,Positive,0.6,Low,Tourist,Resolved,English,Synthetic Survey
MPF00571,"In my experience, The interchange process was smooth and well signposted.",5,Line 1,DN Nagar,2026-03-20,College,Connectivity,bus_connection,Positive,0.59,Low,General,Not Required,English,Synthetic Review
MPF00572,"Overall, The station has clean lifts and working escalators.",5,Line 7,Goregaon East,2026-05-21,College,Facilities,escalator,Positive,0.72,Low,Senior citizen,Not Required,English,Synthetic Survey
MPF00573,"During my trip, Please review the fare for frequent daily commuters.",4,Line 1,Andheri,2026-06-12,College,Fare,fare_complaint,Positive,0.73,Low,Tourist,Not Required,English,Synthetic Complaint
MPF00574,"In my experience, The train had comfortable space and was not crowded.",5,Line 3,Marol Naka,2026-07-08,Work,Crowding,door_area_crowding,Positive,0.71,Low,Tourist,Resolved,English,Synthetic Review
MPF00575,Very little waiting time today; the train arrived on schedule.,5,Line 1,DN Nagar,2026-02-18,Tourism,Delay,service_frequency,Positive,0.58,Low,General,Resolved,English,Synthetic Complaint
MPF00576,"During my trip, The station floor was dirty and bins were overflowing.",2,Line 6,Swami Samarth Nagar,2026-05-31,Other,Cleanliness,coach_cleanliness,Negative,-0.8,High,General,In Review,English,Synthetic Review
MPF00577,"Today, Please improve passenger safety near the platform edge.",1,Line 3,Aarey JVLR,2026-02-13,College,Safety,security_presence,Negative,-0.43,High,Tourist,Open,English,Synthetic Complaint
MPF00578,"During my trip, Buying the ticket was quick and easy.",5,Line 2A,Shimpoli,2026-01-15,Daily commute,Ticketing,counter_queue,Positive,0.82,Low,General,Not Required,Hinglish,Synthetic Complaint
MPF00579,"During my trip, The platform was overcrowded and felt unsafe.",2,Line 3,Aarey JVLR,2026-07-12,Daily commute,Safety,general_safety,Negative,-0.72,High,Student,In Review,English,Synthetic Complaint
MPF00580,"Today, Buying the ticket was quick and easy.",5,Line 3,Aarey JVLR,2026-05-22,Shopping,Ticketing,qr_scanner,Positive,0.71,Low,Student,Not Required,English,Synthetic Review
MPF00581,"In my experience, It was difficult to connect from the metro to the bus stop.",2,Line 1,DN Nagar,2026-05-19,Other,Connectivity,interchange,Negative,-0.68,High,General,Open,English,Synthetic Review
MPF00582,Please review the fare for frequent daily commuters.,3,Line 2A,Goregaon West,2026-01-16,Tourism,Fare,fare_complaint,Neutral,0.09,Medium,Senior citizen,Open,English,Synthetic Survey
MPF00583,"Overall, There should be more working ticket counters during rush hours.",3,Line 7,Mogharpada,2026-01-23,College,Ticketing,counter_queue,Neutral,0.07,Medium,Student,Not Required,English,Synthetic Review
MPF00584,"Overall, The interchange process was smooth and well signposted.",5,Line 1,DN Nagar,2026-06-19,College,Connectivity,bus_connection,Positive,0.75,Low,Senior citizen,Not Required,English,Synthetic Survey
MPF00585,"Overall, The seating area and signage were useful.",3,Line 7,Dindoshi,2026-08-18,Daily commute,Facilities,seating_and_water,Neutral,0.02,Medium,Student,Resolved,English,Synthetic Complaint
MPF00586,The metro connection to other transport was convenient.,5,Line 3,Marol Naka,2026-04-02,Other,Connectivity,bus_connection,Positive,0.56,Low,Tourist,Not Required,English,Synthetic Complaint
MPF00587,"Overall, Please improve cleanliness in the washroom area.",2,Line 2A,Dahisar East,2026-01-24,Other,Cleanliness,washroom_cleanliness,Negative,-0.94,High,Student,In Review,English,Synthetic Survey
MPF00588,Please train staff to respond more politely to passengers.,2,Line 7,Dindoshi,2026-04-12,Other,Staff Behaviour,staff_politeness,Negative,-0.65,High,General,Open,English,Synthetic Complaint
MPF00589,"In my experience, Better last-mile connectivity would help passengers.",3,Line 7,Mogharpada,2026-02-02,Tourism,Connectivity,last_mile,Neutral,0.03,Medium,General,Not Required,English,Synthetic Complaint
MPF00590,"During my trip, The ticket machine was not working and caused a queue.",2,Line 1,DN Nagar,2026-08-29,Daily commute,Ticketing,counter_queue,Negative,-0.44,High,General,Resolved,English,Synthetic Survey
MPF00591,Please review the fare for frequent daily commuters.,4,Line 1,Versova,2026-08-24,College,Fare,fare_complaint,Positive,0.74,Low,General,Not Required,English,Synthetic Review
MPF00592,"Overall, I felt safe throughout the journey and at the station.",5,Line 6,Vikhroli,2026-01-20,Tourism,Safety,platform_safety,Positive,0.58,Low,Student,Resolved,Hinglish,Synthetic Review
MPF00593,Security presence at the station was reassuring.,4,Line 2A,Shimpoli,2026-01-28,Daily commute,Safety,security_presence,Positive,0.74,Low,General,Not Required,English,Synthetic Survey
MPF00594,"Overall, Very little waiting time today; the train arrived on schedule.",4,Line 2A,Kandarpada,2026-01-22,Tourism,Delay,late_train,Positive,0.86,Low,Tourist,Resolved,English,Synthetic Survey
MPF00595,I felt safe throughout the journey and at the station.,5,Line 1,Azad Nagar,2026-03-17,Tourism,Safety,security_presence,Positive,0.57,Low,Tourist,Resolved,English,Synthetic Survey
MPF00596,"In my experience, Broken fixtures and damaged signs should be repaired.",3,Line 3,Aarey JVLR,2026-06-16,Shopping,Maintenance,signage_and_fixtures,Neutral,-0.1,Medium,Tourist,Not Required,English,Synthetic Review
MPF00597,"Overall, The interchange process was smooth and well signposted.",4,Line 1,Azad Nagar,2026-06-13,Tourism,Connectivity,last_mile,Positive,0.59,Low,Student,Resolved,English,Synthetic Survey
MPF00598,"In my experience, Please review the fare for frequent daily commuters.",3,Line 7,Goregaon East,2026-04-22,Work,Fare,frequent_commuter_cost,Neutral,-0.06,Medium,Student,In Review,English,Synthetic Complaint
MPF00599,"Today, The escalator was not working and needs maintenance.",2,Line 7,Goregaon East,2026-03-02,College,Maintenance,signage_and_fixtures,Negative,-0.59,High,Senior citizen,Open,Hinglish,Synthetic Survey
MPF00600,"Overall, Good value for money compared with other transport options.",5,Line 6,Swami Samarth Nagar,2026-03-26,College,Fare,frequent_commuter_cost,Positive,0.86,Low,Working professional,Resolved,English,Synthetic Complaint
MPF00601,"During my trip, The station infrastructure appeared well maintained.",4,Line 6,Shyam Nagar,2026-06-27,Daily commute,Maintenance,infrastructure,Positive,0.59,Low,Tourist,Resolved,English,Synthetic Survey
MPF00602,"During my trip, The staff member at the counter was rude and unhelpful.",1,Line 3,BKC,2026-01-08,Work,Staff Behaviour,security_assistance,Negative,-0.83,High,Student,Not Required,English,Synthetic Review
MPF00603,"In my experience, There should be more working ticket counters during rush hours.",2,Line 1,DN Nagar,2026-08-15,Daily commute,Ticketing,counter_queue,Negative,-0.92,High,Working professional,Open,English,Synthetic Survey
MPF00604,"Overall, It was difficult to connect from the metro to the bus stop.",1,Line 2A,Kandarpada,2026-06-17,College,Connectivity,interchange,Negative,-0.84,High,Student,Open,English,Synthetic Review
MPF00605,"During my trip, There should be more working ticket counters during rush hours.",2,Line 7,Dindoshi,2026-02-06,Tourism,Ticketing,ticket_machine,Negative,-0.55,High,General,Not Required,Hinglish,Synthetic Survey
MPF00606,"During my trip, Better last-mile connectivity would help passengers.",3,Line 2A,Shimpoli,2026-03-17,Other,Connectivity,interchange,Neutral,0.02,Medium,Working professional,Open,Hinglish,Synthetic Complaint
MPF00607,"In my experience, Very little waiting time today; the train arrived on schedule.",5,Line 7,Dindoshi,2026-04-10,Work,Delay,missed_connection,Positive,0.9,Low,Student,Not Required,English,Synthetic Complaint
MPF00608,"During my trip, More seating and drinking water facilities are needed.",3,Line 6,Shyam Nagar,2026-08-24,Shopping,Facilities,seating_and_water,Neutral,0.01,Medium,Tourist,Resolved,English,Synthetic Complaint
MPF00609,"Overall, The staff member at the counter was rude and unhelpful.",1,Line 1,DN Nagar,2026-05-21,Shopping,Staff Behaviour,staff_politeness,Negative,-0.82,High,Tourist,In Review,English,Synthetic Review
MPF00610,"During my trip, There should be more working ticket counters during rush hours.",2,Line 2A,Dahisar East,2026-04-30,Shopping,Ticketing,counter_queue,Negative,-0.6,High,General,Resolved,English,Synthetic Review
MPF00611,"Today, The seating area and signage were useful.",3,Line 3,SEEPZ,2026-03-17,Work,Facilities,seating_and_water,Neutral,-0.06,Medium,Senior citizen,In Review,English,Synthetic Survey
MPF00612,Seats and windows were clean during my journey.,4,Line 6,Kanjurmarg,2026-03-06,Daily commute,Cleanliness,station_cleanliness,Positive,0.58,Low,General,Resolved,English,Synthetic Review
MPF00613,"In my experience, The escalator was not working and needs maintenance.",2,Line 7,Dindoshi,2026-07-30,College,Maintenance,signage_and_fixtures,Negative,-0.94,High,Senior citizen,Resolved,Hinglish,Synthetic Review
MPF00614,"Overall, It was difficult to connect from the metro to the bus stop.",2,Line 1,Azad Nagar,2026-07-28,Work,Connectivity,bus_connection,Negative,-0.52,High,Tourist,Resolved,English,Synthetic Complaint
MPF00615,"Today, The platform was overcrowded and felt unsafe.",2,Line 7,Aarey,2026-01-03,Tourism,Safety,security_presence,Negative,-0.69,High,Student,In Review,English,Synthetic Complaint
MPF00616,"Today, Please train staff to respond more politely to passengers.",3,Line 7,Goregaon East,2026-02-09,Tourism,Staff Behaviour,staff_helpfulness,Neutral,-0.04,Medium,Student,Not Required,English,Synthetic Survey
MPF00617,"Overall, Broken fixtures and damaged signs should be repaired.",2,Line 6,Kanjurmarg,2026-04-26,Shopping,Maintenance,signage_and_fixtures,Negative,-0.91,High,Working professional,In Review,English,Synthetic Complaint
MPF00618,"In my experience, The coach was extremely crowded during peak hours.",2,Line 7,Aarey,2026-01-18,Other,Crowding,door_area_crowding,Negative,-0.93,High,General,Open,English,Synthetic Survey
MPF00619,"In my experience, Security staff guided me properly when I asked for help.",3,Line 7,Dindoshi,2026-04-11,College,Staff Behaviour,staff_politeness,Neutral,-0.01,Medium,General,In Review,English,Synthetic Review
MPF00620,Better last-mile connectivity would help passengers.,3,Line 1,DN Nagar,2026-07-29,Work,Connectivity,last_mile,Neutral,0.09,Medium,Working professional,In Review,Hinglish,Synthetic Review
MPF00621,"Overall, The station infrastructure appeared well maintained.",5,Line 3,MIDC,2026-07-31,Shopping,Maintenance,equipment,Positive,0.84,Low,Senior citizen,Not Required,English,Synthetic Survey
MPF00622,"Today, The interchange process was smooth and well signposted.",5,Line 6,Jogeshwari,2026-08-04,Daily commute,Connectivity,last_mile,Positive,0.74,Low,Student,Not Required,English,Synthetic Complaint
MPF00623,"Overall, The escalator was not working and needs maintenance.",2,Line 7,Jogeshwari East,2026-05-26,Other,Maintenance,infrastructure,Negative,-0.41,High,Tourist,Open,English,Synthetic Complaint
MPF00624,"In my experience, The staff member at the counter was rude and unhelpful.",1,Line 3,Aarey JVLR,2026-02-01,Daily commute,Staff Behaviour,staff_helpfulness,Negative,-0.55,High,Working professional,Resolved,Hinglish,Synthetic Complaint
MPF00625,"Today, The interchange process was smooth and well signposted.",5,Line 1,Andheri,2026-06-22,Tourism,Connectivity,last_mile,Positive,0.65,Low,Student,Resolved,English,Synthetic Complaint
MPF00626,"Today, Please improve passenger safety near the platform edge.",1,Line 3,Marol Naka,2026-01-18,Daily commute,Safety,platform_safety,Negative,-0.94,High,Working professional,In Review,English,Synthetic Review
MPF00627,"During my trip, The lift was out of service and caused inconvenience.",2,Line 6,Jogeshwari,2026-05-17,Daily commute,Facilities,seating_and_water,Negative,-0.85,High,General,In Review,English,Synthetic Survey
MPF00628,"During my trip, The coach was clean and well maintained.",5,Line 3,MIDC,2026-01-13,Work,Cleanliness,washroom_cleanliness,Positive,0.73,Low,Working professional,Not Required,English,Synthetic Complaint
MPF00629,Good value for money compared with other transport options.,5,Line 6,Swami Samarth Nagar,2026-01-24,Shopping,Fare,fare_value,Positive,0.55,Low,Working professional,Not Required,Hinglish,Synthetic Survey
MPF00630,Very little waiting time today; the train arrived on schedule.,5,Line 3,Aarey JVLR,2026-01-28,Daily commute,Delay,service_frequency,Positive,0.93,Low,Working professional,Not Required,English,Synthetic Complaint
MPF00631,"Today, The staff member at the counter was rude and unhelpful.",1,Line 7,Mogharpada,2026-04-13,Work,Staff Behaviour,security_assistance,Negative,-0.88,High,Student,Open,English,Synthetic Survey
MPF00632,"Overall, The ticket price feels expensive for a short journey.",1,Line 7,Aarey,2026-04-16,College,Fare,fare_complaint,Negative,-0.56,High,General,Not Required,English,Synthetic Survey
MPF00633,The station floor was dirty and bins were overflowing.,3,Line 6,Vikhroli,2026-02-14,Other,Cleanliness,washroom_cleanliness,Neutral,-0.04,Medium,Tourist,Open,English,Synthetic Review
MPF00634,"In my experience, Seats and windows were clean during my journey.",5,Line 7,Jogeshwari East,2026-06-07,Tourism,Cleanliness,coach_cleanliness,Positive,0.73,Low,Working professional,Not Required,English,Synthetic Survey
MPF00635,The ticket price feels expensive for a short journey.,1,Line 7,Dindoshi,2026-06-14,Shopping,Fare,fare_value,Negative,-0.87,High,Senior citizen,Resolved,English,Synthetic Survey
MPF00636,"During my trip, The seating area and signage were useful.",4,Line 2A,Goregaon West,2026-07-12,Daily commute,Facilities,lift,Positive,0.81,Low,General,Resolved,English,Synthetic Review
MPF00637,"In my experience, The platform was overcrowded and felt unsafe.",1,Line 2A,Kandarpada,2026-05-14,Other,Safety,security_presence,Negative,-0.41,High,Working professional,Resolved,English,Synthetic Review
MPF00638,The train was delayed by 20 minutes and I missed my connection.,2,Line 2A,Poisar,2026-08-01,Work,Delay,late_train,Negative,-0.92,High,Working professional,Resolved,English,Synthetic Complaint
MPF00639,"Today, Please improve cleanliness in the washroom area.",2,Line 2A,Goregaon West,2026-03-15,Work,Cleanliness,washroom_cleanliness,Negative,-0.85,High,Working professional,Open,English,Synthetic Review
MPF00640,"During my trip, There should be more working ticket counters during rush hours.",2,Line 3,MIDC,2026-07-29,Shopping,Ticketing,counter_queue,Negative,-0.72,High,Tourist,Resolved,English,Synthetic Survey
MPF00641,"In my experience, The fare is reasonable for the service provided.",5,Line 1,Azad Nagar,2026-03-14,Other,Fare,fare_complaint,Positive,0.61,Low,Working professional,Not Required,English,Synthetic Review
